From Bank,To Bank,Amount Paid,Payment Currency,Payment Format,Is Laundering,Hour,Dayofweek
35145,234933,48.22,US Dollar,Cheque,0,10,4
120364,214111,42472.86,US Dollar,Cash,0,22,4
70,3100,286.58,US Dollar,Credit Card,0,8,3
349,15680,693.25,US Dollar,Cheque,0,17,4
157900,14,782.79,Shekel,Credit Card,0,17,3
60184,259592,700.11,Shekel,Cheque,0,10,3
11483,226624,2676.94,US Dollar,Cheque,0,13,3
217,270575,0.988202,Bitcoin,Bitcoin,0,4,3
1638,217862,941.42,US Dollar,Cheque,0,20,4
118,69465,0.049479,Bitcoin,Bitcoin,0,3,4
0,0,338305.19,Euro,ACH,0,6,0
70,12,17306386.05,Yen,Cheque,0,2,4
214,72351,42.498016,Bitcoin,Bitcoin,0,15,3
21566,161609,46.09,US Dollar,Credit Card,0,2,4
19182,26179,29260.64,US Dollar,Cheque,0,20,3
224371,224371,55819753.01,Rupee,Reinvestment,0,0,3
133372,133372,56376.18,UK Pound,Reinvestment,0,0,3
1231,1231,14611.17,US Dollar,Reinvestment,0,2,3
2514,254204,218.22,Euro,ACH,0,15,0
226851,20,274.05,US Dollar,Cheque,0,8,1
216,64059,297.58,Saudi Riyal,Credit Card,0,14,3
123260,24677,3521.64,Rupee,Credit Card,0,10,5
112711,112711,259.01,Yuan,Reinvestment,0,0,3
2514,230153,137.64,Euro,Cheque,0,8,4
14162,14162,1807.05,US Dollar,Reinvestment,0,19,3
214,70874,0.040753,Bitcoin,Bitcoin,0,21,3
136424,136678,1426.73,Canadian Dollar,Cash,0,17,6
70,72,17166644.01,Rupee,Cash,0,15,4
27425,114417,56738.27,Yuan,Cheque,0,0,3
11770,1638,521.03,US Dollar,Cheque,0,0,5
498,37714,43.67,Euro,ACH,0,4,3
15355,11222,40.88,US Dollar,ACH,0,4,4
225862,110777,285.04,US Dollar,Wire,0,17,3
1768,12202,1567.5,Euro,Cheque,0,2,1
211738,13191,583836.04,Yuan,Cash,0,6,4
1639,17831,310.01,US Dollar,Cheque,0,7,1
70,265216,19894.18,Saudi Riyal,Cheque,0,19,1
118,70874,77.301295,Bitcoin,Bitcoin,0,20,3
212,141352,1778.14,Australian Dollar,Cash,0,16,3
70,17059,7251.93,Euro,Cheque,0,9,3
1277,22224,1637.21,US Dollar,Cheque,0,19,2
425,1768,239570.23,Euro,ACH,0,16,3
45977,46152,72907.45,Mexican Peso,ACH,0,20,4
1126,14172,559.34,Euro,Cheque,0,6,4
20,2293,3538.48,Euro,Credit Card,0,11,4
17180,18,135196.06,Yen,Credit Card,0,8,1
18990,18990,5.43,US Dollar,Reinvestment,0,0,3
1291,238477,272.91,US Dollar,Credit Card,0,11,4
3,1720,13390170.8,Euro,Cheque,0,1,2
70,227277,13836.38,Rupee,Credit Card,0,20,1
25856,4308,303.57,Euro,Credit Card,0,15,4
26,25552,10438.34,Rupee,Cheque,0,5,4
14652,5294,3674.66,Euro,Cheque,0,20,1
112876,8884,9795.73,Euro,Credit Card,0,11,4
349,4790,2043.5,US Dollar,Cheque,0,14,4
28335,28335,48184532.15,Yuan,Cheque,0,12,2
12592,11880,15.68,US Dollar,Wire,0,7,0
10154,212642,1167.01,Yuan,ACH,0,18,4
692,110080,154.5,Yuan,ACH,0,12,0
223113,25463,4260.09,US Dollar,Cheque,0,19,4
69521,73607,0.039647,Bitcoin,Bitcoin,0,7,3
11,1639,114244.85,US Dollar,Cash,0,0,4
16505,224266,39.23,Euro,Credit Card,0,0,2
18491,23848,170.57,Euro,Credit Card,0,17,0
1720,1720,405.56,Euro,ACH,0,23,3
11,11,202.61,Yuan,Credit Card,0,20,2
241503,142327,3448.88,Australian Dollar,Cash,0,9,3
70,244702,88.13,Australian Dollar,Cheque,0,0,2
15763,15763,13.92,Euro,Reinvestment,0,14,3
223281,124476,223182.39,Rupee,Cheque,0,14,0
69465,171723,0.181729,Bitcoin,Bitcoin,0,6,5
70,126688,462.27,US Dollar,Cash,0,5,4
20,11265,955.49,US Dollar,Credit Card,0,21,1
18076,219011,102.96,Euro,ACH,0,13,0
218303,25788,1454.4,Euro,Cheque,0,20,4
10881,141259,74.11,Euro,ACH,0,7,3
70,14003,339.56,Euro,Credit Card,0,15,1
16263,15284,375.69,US Dollar,Cheque,0,14,3
70,16,1922.1,Canadian Dollar,Cheque,0,4,1
21939,1889,6131.31,US Dollar,Credit Card,0,0,0
24317,24317,9.64,US Dollar,Reinvestment,0,3,3
126688,237640,186.07,US Dollar,Credit Card,0,0,5
21876,6058,394.41,Euro,Cheque,0,22,2
22129,22129,802.13,US Dollar,Reinvestment,0,0,3
116703,162225,555.09,US Dollar,Credit Card,0,22,3
21547,120364,341.9,US Dollar,Cheque,0,18,3
1231,1422,27228.88,US Dollar,Cash,0,0,4
4,29572,17426.24,Yen,Credit Card,0,14,6
14,1776,6996003.48,Euro,Cheque,0,17,3
11222,226290,742.87,US Dollar,Cheque,0,10,5
8318,8318,416700.82,US Dollar,Reinvestment,0,0,3
169309,20,0.002174,Bitcoin,Bitcoin,0,15,1
141204,42234,20.41,Australian Dollar,Cash,0,21,4
1889,25526,111953.19,US Dollar,Cheque,0,16,4
4,120838,278065.85,Yen,Cheque,0,1,2
143711,45421,686861.57,Australian Dollar,Cheque,0,14,4
11832,11832,999574.94,Yen,Reinvestment,0,0,3
70,229619,229.83,US Dollar,Cheque,0,8,5
1291,212996,142.7,US Dollar,Credit Card,0,12,5
70,11314,93.93,Euro,Credit Card,0,1,5
70,241979,204672.74,Australian Dollar,Cheque,0,15,3
5621,137074,31.86,US Dollar,Cheque,0,10,0
26,211524,8235.79,Yuan,Credit Card,0,18,5
32245,23,294430.02,Ruble,Cheque,0,13,3
22481,232523,90.11,US Dollar,ACH,0,8,4
70,19325,6452.37,US Dollar,Cheque,0,15,1
11222,22481,68967.04,US Dollar,Cheque,0,3,2
337454,10,252.7,Canadian Dollar,Credit Card,0,13,4
110522,113816,377.71,Yuan,Wire,0,5,4
70,29779,11999.76,Yuan,Credit Card,0,5,1
2860,1217,128.55,US Dollar,Credit Card,0,11,0
10,36975,425.51,Canadian Dollar,Credit Card,0,5,3
228073,32453,4.6,Euro,Wire,0,1,3
216093,214867,16330.34,US Dollar,ACH,0,14,3
21414,11222,4600.03,US Dollar,Cheque,0,6,2
14,1135,217.34,Mexican Peso,Credit Card,0,0,4
362896,252676,298.04,US Dollar,Cheque,0,6,4
40989,41428,18725.91,Australian Dollar,Credit Card,0,1,2
374668,374668,0.309702,Bitcoin,Bitcoin,0,2,3
3440,3440,28.13,US Dollar,Reinvestment,0,10,3
10920,19521,286492.1,Yuan,Cheque,0,2,1
4187,1291,2.95,US Dollar,Cheque,0,9,1
166753,63779,4938.84,Saudi Riyal,Credit Card,0,15,3
70,1776,930.47,Euro,Cheque,0,15,1
2368,24216,3097.41,US Dollar,Credit Card,0,4,3
12202,120478,74874.23,Euro,Wire,0,2,4
70,72360,0.006744,Bitcoin,Bitcoin,0,1,3
28335,9976,31465.62,Yuan,Cheque,0,16,4
11265,135744,17.78,US Dollar,Cheque,0,2,5
27155,22364,734.2,US Dollar,Cheque,0,19,4
70,118066,37749.18,Yen,Credit Card,0,12,4
16263,27967,100.6,US Dollar,Credit Card,0,12,5
13821,124682,7031.82,US Dollar,Cheque,0,5,4
32944,5206,953.8,US Dollar,Cheque,0,1,4
14,113,9219.24,Shekel,Credit Card,0,2,4
70,71177,474.46,Euro,Cheque,0,14,2
118293,118293,913.82,Euro,Reinvestment,0,5,3
19368,14213,1767.05,Euro,Credit Card,0,20,5
253402,253851,34.88,Swiss Franc,Wire,0,14,5
21444,117105,258.39,Euro,Cash,0,15,6
8,135925,708.26,Canadian Dollar,Cheque,0,10,4
6314,173277,2389.75,US Dollar,ACH,0,15,4
133936,233282,2114.07,UK Pound,Cheque,0,8,5
15,15168,10070.74,Yuan,Cash,0,23,2
237318,237318,1637.27,Euro,Reinvestment,0,13,3
9735,15168,14947.82,Yuan,Cheque,0,20,5
16456,8488,1900.73,US Dollar,Credit Card,0,16,4
3500,129402,3667.23,US Dollar,Cheque,0,13,1
70,219,0.624242,Bitcoin,Bitcoin,0,20,4
143477,142223,2842.59,Australian Dollar,ACH,0,23,2
70,17102,590.2,Euro,Cheque,0,6,0
131266,131266,10.89,US Dollar,Reinvestment,0,0,3
14851,23726,3367.5,Euro,Cheque,0,23,2
21048,132480,813.32,Euro,Cheque,0,6,3
16263,215107,665.14,US Dollar,Cheque,0,19,4
249523,48719,719.73,Brazil Real,Cheque,0,16,2
14,11,77.47,Euro,Cheque,0,4,4
22129,138580,165.27,US Dollar,Cheque,0,12,5
70,161609,166.73,US Dollar,Cash,0,4,4
3,3,14.04,Euro,Reinvestment,0,0,3
15640,24523,62.83,US Dollar,ACH,0,9,4
5893,27356,83869.51,Yuan,Credit Card,0,11,4
10,149034,136357.58,Brazil Real,Credit Card,0,11,4
16679,212518,2205.17,US Dollar,ACH,0,0,2
110856,118314,3187.82,US Dollar,Cheque,0,12,1
19414,223281,7615.74,Rupee,Cash,0,7,2
15,5893,18180.92,Yuan,Cheque,0,12,1
24216,23760,1064.59,US Dollar,Cheque,0,1,0
14,18121,23.71,Euro,Credit Card,0,14,3
256586,25856,144.4,Euro,Credit Card,0,0,4
70,7058,743862.7,Euro,Cheque,0,18,4
29908,125589,60.73,Euro,Cheque,0,13,3
1,252390,192.34,US Dollar,Credit Card,0,21,3
70,15726,4212.26,Yen,Cheque,0,12,5
2,119699,62707.94,Rupee,Credit Card,0,11,0
224,122967,867.65,US Dollar,Cheque,0,12,5
3389,24317,93.85,US Dollar,Credit Card,0,19,2
315269,234680,278.19,US Dollar,ACH,0,13,4
23033,23642,47592.31,Rupee,Cheque,0,9,0
328564,11770,744.47,US Dollar,Cash,0,12,4
24816,24816,102788.43,Rupee,Reinvestment,0,8,3
341212,41126,561.2,Australian Dollar,Credit Card,0,17,4
6314,15875,1694.13,US Dollar,Credit Card,0,21,2
270575,270575,2.686568,Bitcoin,Bitcoin,0,0,3
45977,113,13149.58,Mexican Peso,Credit Card,0,13,3
70,113,8365.35,Shekel,Credit Card,0,11,0
231975,132425,2292.49,Ruble,Cheque,0,13,6
3,425,4108.95,Euro,ACH,0,13,5
110682,12,720.47,Yuan,Cash,0,21,4
35145,126991,130.72,US Dollar,Cash,0,3,3
14195,131333,58.66,Euro,Cash,0,0,3
28335,9096,1168.19,Yuan,Cheque,0,23,3
18326,113317,3436.43,US Dollar,Cash,0,0,3
2175,28932,15998.42,US Dollar,Cheque,0,9,4
70,237078,5216.58,US Dollar,Cheque,0,11,3
1277,2545,63.12,US Dollar,Credit Card,0,7,4
49096,49096,1057.1,Brazil Real,Cash,0,19,3
1639,254569,1489.18,US Dollar,Credit Card,0,15,4
29844,212840,4275.91,Yuan,Credit Card,0,7,0
70,5893,5701037.06,Yuan,Cash,0,7,2
360204,59157,412.79,Shekel,Cheque,0,17,4
133159,232857,398.68,UK Pound,Credit Card,0,3,0
21566,22432,533.72,US Dollar,Credit Card,0,0,3
160008,158021,4239.92,Shekel,Cheque,0,14,2
19,32245,304128.01,Ruble,Cheque,0,3,0
19970,29844,103121.95,Yuan,Credit Card,0,21,5
42275,241503,73.33,Australian Dollar,Credit Card,0,4,1
25,233282,1825.09,UK Pound,Cheque,0,20,4
25885,27436,58.71,Euro,Credit Card,0,14,4
37434,25885,126.36,Euro,Cheque,0,11,4
219054,8106,464.9,US Dollar,Cash,0,2,4
11337,11337,132190.74,US Dollar,Reinvestment,0,18,3
692,7082,2342.82,Yuan,Cheque,0,0,6
2514,12202,45108.71,Euro,Cash,0,8,2
70,20,129.4,US Dollar,Credit Card,0,4,4
5572,5572,9140.75,US Dollar,Reinvestment,0,0,3
1812,11,2241.25,US Dollar,Cheque,0,23,4
170558,70949,0.266463,Bitcoin,Bitcoin,0,4,1
70,272409,0.001171,Bitcoin,Bitcoin,0,20,4
20,13821,4678.96,US Dollar,Credit Card,0,0,4
7272,234587,5217.9,Euro,Wire,0,20,1
22124,28625,538.29,US Dollar,Credit Card,0,20,3
3671,18624,1613829.16,Euro,Cheque,0,20,4
25307,33067,46929.08,Euro,Cheque,0,0,0
269077,169309,0.685996,Bitcoin,Bitcoin,0,14,5
225265,21316,4056.2,Euro,ACH,0,4,3
2368,13474,3848.12,US Dollar,Cash,0,10,5
1120,8318,21001.41,US Dollar,Cash,0,0,4
20,425,12723.11,Euro,Credit Card,0,22,1
25526,11255,948.97,US Dollar,Cheque,0,11,4
0,3,52.06,Euro,Credit Card,0,16,4
143037,143037,11.74,Australian Dollar,Reinvestment,0,11,3
230595,230595,12360.6,Ruble,Cheque,0,12,3
150407,151857,2044194.02,Brazil Real,Cheque,0,1,2
120336,114721,87.17,US Dollar,Cheque,0,6,0
213,257858,25261.07,Shekel,Cheque,0,17,3
235647,235735,433.65,Canadian Dollar,Credit Card,0,0,2
70,269641,10180.56,Euro,Cheque,0,13,3
330911,29559,1632.27,Euro,Credit Card,0,6,4
112659,28736,18794.01,Yuan,ACH,0,7,0
70,18081,602.91,US Dollar,Cash,0,1,3
125103,125103,1741256.86,Rupee,Reinvestment,0,3,3
1291,13354,15951.68,US Dollar,Credit Card,0,0,3
15763,29908,3052.53,Euro,ACH,0,0,4
263574,163897,1099012.93,Saudi Riyal,Wire,0,2,3
68271,266844,693.42,Saudi Riyal,Cash,0,21,0
19561,130821,3104.75,US Dollar,Credit Card,0,18,4
14003,231026,122.99,Euro,Cheque,0,6,4
270372,270372,0.001284,Bitcoin,Bitcoin,0,0,3
1720,132483,1969.5,Euro,Cheque,0,21,0
152768,154007,182845.56,Swiss Franc,Cheque,0,0,3
5687,5687,8.37,US Dollar,Reinvestment,0,21,3
12386,18076,77.78,Euro,Credit Card,0,0,5
17,253851,278.58,Swiss Franc,Credit Card,0,4,6
115771,269693,4228.43,US Dollar,Cheque,0,17,4
4308,32125,7490.4,Euro,Credit Card,0,11,5
328515,146287,101.47,US Dollar,Credit Card,0,10,4
241036,43129,1638.26,Australian Dollar,Cheque,0,18,3
18,215557,96189.61,Yen,Cheque,0,5,5
243246,271282,17062.59,US Dollar,Credit Card,0,21,4
31568,20,297.41,US Dollar,Cheque,0,16,4
113,257858,297.69,Shekel,Cheque,0,1,4
22595,235943,78.6,Canadian Dollar,Credit Card,0,3,6
37520,16505,82.54,Euro,ACH,0,19,4
14,14,20.72,Euro,Reinvestment,0,19,3
349,22185,1929.65,US Dollar,Cheque,0,10,5
27,111425,9778.04,Yuan,Cash,0,19,2
22264,240201,5.76,Euro,Credit Card,0,9,4
169309,269294,0.045762,Bitcoin,Bitcoin,0,1,6
4308,8540,234.32,Euro,Credit Card,0,11,4
6269,235805,790.77,Euro,ACH,0,1,1
19414,224943,101.08,Rupee,ACH,0,13,4
258606,1199,31018.88,Shekel,Cheque,0,2,1
18,216,198.06,Saudi Riyal,Credit Card,0,11,6
26,23539,11052.04,Rupee,Credit Card,0,21,3
26894,26894,1238.88,US Dollar,Reinvestment,0,23,3
28168,22031,29.13,US Dollar,Wire,0,17,2
11968,3597,1463.34,US Dollar,Cheque,0,6,4
71399,71399,0.00108,Bitcoin,Bitcoin,0,11,3
233005,25017,503.01,US Dollar,ACH,0,12,4
70,158841,278.75,US Dollar,Cheque,0,5,2
127980,35798,5087.45,US Dollar,Cash,0,19,3
1120,220188,1099.76,US Dollar,Credit Card,0,20,2
1217,12,965.95,US Dollar,Cheque,0,8,5
15680,19589,1738406.97,US Dollar,Wire,0,13,3
14640,14640,13882.92,Euro,Reinvestment,0,0,3
1126,5294,3886.34,Euro,Cheque,0,12,3
20,2196,12491648.56,US Dollar,ACH,0,0,1
7080,13712,150036.65,Yuan,Credit Card,0,0,3
36524,36096,3126.49,Canadian Dollar,Credit Card,0,7,0
18656,18656,656.84,US Dollar,ACH,0,20,4
233829,3533,1739.38,US Dollar,Credit Card,0,15,1
1120,121007,639.07,US Dollar,Cheque,0,8,6
1394,11701,1603.18,US Dollar,Cheque,0,0,3
163233,65528,63630.47,Saudi Riyal,Cheque,0,11,3
14,14,528.12,Euro,Credit Card,0,23,3
22031,36176,1359.73,US Dollar,Wire,0,8,2
70,10,45457.2,Brazil Real,Cheque,0,2,4
20,14,4885.73,Euro,Cheque,0,2,4
20,269999,0.009238,Bitcoin,Bitcoin,0,6,1
23486,229161,292790.09,Rupee,Cheque,0,12,0
28958,3100,663949.51,US Dollar,Cash,0,5,3
22224,13125,5582.07,US Dollar,Credit Card,0,23,4
531,4790,347.66,US Dollar,Cheque,0,19,1
15783,11,2953.49,Canadian Dollar,Wire,0,7,4
248756,248756,529.01,Brazil Real,Reinvestment,0,8,3
220987,51288,3300.86,Euro,Credit Card,0,7,3
14057,14057,362624.64,Yuan,Reinvestment,0,0,3
245772,11701,266.42,US Dollar,Cheque,0,1,4
117286,29592,390165.81,Yen,ACH,0,18,4
70,212,2971.67,Australian Dollar,Credit Card,0,12,3
41428,41428,1065892.95,Australian Dollar,Reinvestment,0,23,3
31363,28625,1444.5,US Dollar,Cheque,0,14,6
112,58138,1250903.78,Shekel,Cheque,0,5,3
70,117960,59511.26,Yen,Credit Card,0,23,5
33679,23041,269.47,US Dollar,ACH,0,6,4
157900,158021,13345.52,Shekel,Credit Card,0,0,1
2196,3500,1188.53,US Dollar,Cheque,0,19,0
2692,219705,99.93,US Dollar,Cheque,0,9,4
531,11770,1917.48,US Dollar,Cheque,0,21,5
114721,114721,23009.43,US Dollar,Reinvestment,0,1,3
16262,27175,4686.88,US Dollar,ACH,0,14,0
11770,221024,42.66,US Dollar,Cash,0,1,3
141204,243057,80426.4,Australian Dollar,Cheque,0,4,3
232857,233064,106.48,UK Pound,Cheque,0,10,3
425,425,2087.89,Euro,Reinvestment,0,0,3
22031,11671,99.26,US Dollar,Cheque,0,16,4
18624,118871,267.46,Euro,Credit Card,0,20,6
13821,49865,3384.12,Brazil Real,Credit Card,0,8,2
70,28625,32.32,US Dollar,Cheque,0,11,0
237102,237102,209024.51,US Dollar,Reinvestment,0,0,3
163233,63779,2171.01,Saudi Riyal,Credit Card,0,11,0
4308,219011,1132.9,Euro,Cheque,0,4,2
17213,17213,49891.53,Yuan,Reinvestment,0,12,3
1,24999,1270.8,US Dollar,Cheque,0,4,4
48858,11,13496.78,Brazil Real,Cheque,0,15,4
70,271241,0.12345,Bitcoin,Bitcoin,0,7,2
138580,34978,3788.26,US Dollar,Cheque,0,10,3
337722,126588,464.7,US Dollar,Credit Card,0,16,4
11701,30515,292.96,US Dollar,Cheque,0,4,4
70,1394,25.96,US Dollar,Cheque,0,1,3
18081,16866,5568.42,US Dollar,Cheque,0,19,3
217,270308,101.200766,Bitcoin,Bitcoin,0,8,6
210091,210091,162.81,Yuan,Reinvestment,0,5,3
70,263025,64414.3,Saudi Riyal,Cheque,0,12,2
18,68271,1438.27,Saudi Riyal,Credit Card,0,5,4
10,136606,4149.34,Canadian Dollar,Credit Card,0,14,0
71705,71716,0.003411,Bitcoin,Bitcoin,0,21,1
7249,25885,62020.65,Euro,Cheque,0,6,2
3597,135650,382.84,US Dollar,Credit Card,0,21,6
600,33687,410.31,Euro,Cheque,0,1,4
235889,135933,46718.08,Canadian Dollar,Cheque,0,13,2
163470,163897,1008.03,Saudi Riyal,Credit Card,0,7,0
27436,156774,198.18,Euro,Cash,0,5,2
324263,227600,24786.34,Rupee,Cheque,0,3,4
70,270392,0.00156,Bitcoin,Bitcoin,0,7,3
12274,12274,143.46,Euro,Cash,0,0,3
10461,9096,2831.26,Yuan,Credit Card,0,20,4
11047,21566,2.24,US Dollar,Cheque,0,20,4
17213,124592,2292586.6,Rupee,Credit Card,0,20,4
319370,319370,2042.3,Euro,Reinvestment,0,0,3
1638,231905,6912.04,US Dollar,Cheque,0,23,4
26179,215571,229.38,US Dollar,Cheque,0,1,2
3671,219011,35606.07,Euro,Cheque,0,3,3
29592,13,178840.28,Yen,Credit Card,0,3,4
13,115648,1157.53,Yen,Cheque,0,14,4
7249,14003,210.02,Euro,Cheque,0,10,1
10154,17768,21074.69,Yuan,Credit Card,0,7,4
1807,11047,2023.29,US Dollar,ACH,0,10,6
1835,1595,3114.52,Euro,ACH,0,5,3
15400,17319,118.52,Euro,Cheque,0,2,1
24029,24029,6.95,Euro,ACH,0,6,1
15355,33747,479.55,US Dollar,Cheque,0,22,2
23726,15400,2812.19,Euro,Credit Card,0,1,4
49096,214,227.68,Brazil Real,Cheque,0,23,4
211,56147,1591665.46,Swiss Franc,Cheque,0,7,3
149108,151944,19938.51,Brazil Real,Credit Card,0,8,5
0,22264,5006.91,Euro,Cash,0,10,4
244647,252645,23.68,US Dollar,Credit Card,0,0,5
23319,110198,1440.25,Yuan,Cheque,0,16,3
352277,2545,91.06,US Dollar,ACH,0,9,4
70,2196,851.41,US Dollar,Credit Card,0,14,0
69289,20,0.060282,Bitcoin,Bitcoin,0,21,0
169804,76134,0.329816,Bitcoin,Bitcoin,0,9,4
6971,66647,1139.91,Euro,Cheque,0,3,1
1422,21414,2361.02,US Dollar,Cheque,0,16,1
18,18,112.9,Swiss Franc,Reinvestment,0,11,3
21876,17059,5236.68,Euro,Cheque,0,1,2
249523,150407,17723.06,Brazil Real,ACH,0,2,0
246656,219705,130.82,US Dollar,Cheque,0,4,4
113317,18247,19062.71,US Dollar,Cheque,0,8,4
11,531,2047.97,US Dollar,Cheque,0,12,1
20,1595,0.17,Euro,Cheque,0,23,3
214,272773,0.010094,Bitcoin,Bitcoin,0,21,5
19,1135,23437.94,Mexican Peso,Cheque,0,6,3
12202,215112,2060086.3,Euro,Cheque,0,11,4
12,1422,144124.43,US Dollar,Cheque,0,16,4
52860,153607,7.09,Swiss Franc,ACH,0,14,3
22031,25242,52.57,US Dollar,ACH,0,6,2
20592,210472,1772.41,US Dollar,ACH,0,9,4
25242,8318,319.85,US Dollar,Cheque,0,18,3
24027,6586,122.01,Euro,Cheque,0,8,3
13,19836,30350.72,Yen,Credit Card,0,22,3
70,29,19960.46,UK Pound,Credit Card,0,5,4
70,22185,421.13,US Dollar,Cheque,0,23,5
233064,24,126.51,UK Pound,Credit Card,0,7,0
19104,15,5368.37,Yuan,Credit Card,0,20,6
70,134019,157.96,US Dollar,Credit Card,0,1,1
27915,233005,216.5,US Dollar,Credit Card,0,0,3
17,137117,3050.92,Canadian Dollar,Credit Card,0,19,4
245810,131787,5704.13,US Dollar,Cheque,0,6,0
214,214,0.000459,Bitcoin,ACH,0,0,6
70,233064,2662.61,UK Pound,Credit Card,0,23,3
41126,141204,898.27,Australian Dollar,Cash,0,12,3
337337,219011,258.24,Euro,ACH,0,14,4
222433,222433,16.0,US Dollar,Reinvestment,0,0,3
8087,12055,13.2,Euro,Credit Card,0,0,1
26,19521,49723.02,Yuan,Cash,0,9,4
58848,59700,298.4,Shekel,Cheque,0,2,6
70,29572,78544644.98,Yen,Cash,0,2,4
12,116914,94120.08,Yen,Cheque,0,13,0
70,264772,1243.19,Saudi Riyal,Cheque,0,0,3
226290,21130,2339.53,US Dollar,Cheque,0,16,4
144290,212108,1623.6,Euro,Cheque,0,15,4
1291,1394,1700.4,US Dollar,Credit Card,0,23,3
1,6045,85.93,US Dollar,Cheque,0,12,0
20,111913,66799.5,US Dollar,Cheque,0,1,5
4,29572,664.18,Yen,Cash,0,19,1
16293,18520,82.45,Euro,Cheque,0,15,4
1291,23410,17.51,US Dollar,ACH,0,13,0
134326,233282,849.32,UK Pound,Credit Card,0,1,4
318274,21833,9721.16,Yen,Credit Card,0,20,4
118,169500,0.025871,Bitcoin,Bitcoin,0,12,1
131857,158006,131.53,US Dollar,Credit Card,0,0,3
9530,210277,978.83,Yuan,Credit Card,0,6,5
268792,71172,0.013238,Bitcoin,Bitcoin,0,23,6
11495,12592,41745.24,US Dollar,Cheque,0,0,3
23760,11047,5088.01,US Dollar,Cheque,0,20,0
17319,17036,43414.37,Euro,Cheque,0,7,3
23319,23319,24.59,US Dollar,Reinvestment,0,0,3
11495,11265,45127.15,US Dollar,ACH,0,14,3
322413,322413,4670.66,Euro,Reinvestment,0,17,3
70,39697,6695.5,US Dollar,Credit Card,0,3,3
114721,26179,1824.41,US Dollar,Cash,0,13,3
24633,116648,13285.35,US Dollar,Credit Card,0,7,1
212,241256,11.12,Australian Dollar,Credit Card,0,0,2
425,425,16118.47,Euro,Credit Card,0,21,5
344022,262622,0.01,US Dollar,ACH,0,0,3
5394,3597,3471.91,US Dollar,Cheque,0,0,3
27387,55436,2748.97,Euro,Cheque,0,17,2
117694,20,4.41,US Dollar,Credit Card,0,0,3
1390,21444,238.0,Euro,Cheque,0,9,6
34843,12503,233.27,Euro,Cash,0,18,4
16,10,30314.25,Canadian Dollar,Cheque,0,20,3
18,116914,8932.98,Yen,Cheque,0,13,2
212,141465,1078.11,Australian Dollar,Cheque,0,8,3
144868,123520,125.78,Euro,Credit Card,0,20,5
248575,50901,356.17,Brazil Real,Credit Card,0,1,3
225862,1812,88.8,US Dollar,Credit Card,0,0,5
5893,28335,1090.89,Yuan,Wire,0,15,4
163897,163233,138.72,Saudi Riyal,Credit Card,0,0,0
25307,12503,36.23,Euro,Cheque,0,7,4
70,24820,433480.56,Rupee,Cheque,0,23,0
1231,216093,218.42,US Dollar,ACH,0,17,4
11047,247408,3420.41,US Dollar,Credit Card,0,6,2
22481,31286,1378.28,US Dollar,Cheque,0,13,5
216,63779,430.4,Saudi Riyal,Cash,0,2,6
25242,5394,107274.24,US Dollar,Cheque,0,14,4
21566,113016,33.57,US Dollar,Cash,0,10,4
22260,117521,1997.78,Euro,Credit Card,0,18,0
1231,13210,19885.55,US Dollar,Cheque,0,2,4
16,17,3706.97,Canadian Dollar,Cheque,0,20,4
111615,12,65.54,Yuan,Credit Card,0,0,3
69289,70850,0.003199,Bitcoin,Bitcoin,0,1,4
19413,123568,337171.72,Rupee,Cheque,0,7,5
423,110851,2973.25,Euro,Cash,0,11,4
112568,140110,39.67,US Dollar,Cheque,0,19,4
72,72,2334637.56,Rupee,Reinvestment,0,11,3
14,224237,762603.18,Rupee,Cheque,0,5,2
215187,22224,436.67,US Dollar,Credit Card,0,16,3
268792,268792,10.840044,Bitcoin,Bitcoin,0,6,3
22086,120280,979.26,US Dollar,Cheque,0,5,5
1639,15640,170.74,US Dollar,Cheque,0,15,4
12592,4790,198.93,US Dollar,Cheque,0,10,2
17256,18270,118.86,US Dollar,Credit Card,0,19,5
14640,14640,435887.36,Euro,ACH,0,3,3
25526,221024,43112.23,US Dollar,Cheque,0,12,1
52860,253851,415.57,Swiss Franc,Credit Card,0,1,3
245729,245681,4741388.84,Mexican Peso,ACH,0,17,3
39364,112857,3488.04,Yuan,Cheque,0,12,6
143928,143928,1176.65,US Dollar,Reinvestment,0,0,3
153484,49873,3418.27,US Dollar,Cheque,0,5,1
20,21260,107.55,US Dollar,Cash,0,3,4
232081,232081,9152.4,Ruble,Reinvestment,0,0,3
21647,15331,242.18,US Dollar,Credit Card,0,18,1
19836,19836,401.74,Yen,Reinvestment,0,0,3
394,212518,71033.43,US Dollar,ACH,0,22,2
7082,210091,43107.5,Yuan,Cheque,0,0,3
268792,268792,0.349542,Bitcoin,Bitcoin,0,0,3
20,5312,62.03,Euro,Cash,0,7,0
1639,142529,53.88,US Dollar,Cash,0,16,5
1807,18270,253.8,US Dollar,Cheque,0,2,1
13395,56790,1090.76,US Dollar,Wire,0,12,3
214,49411,14428.9,Brazil Real,Cheque,0,6,4
26179,349,812.56,US Dollar,Cheque,0,19,2
70,1812,1336901.52,US Dollar,Cash,0,12,5
337687,25017,147.76,US Dollar,ACH,0,23,4
1720,25384,237.11,Euro,Cheque,0,13,4
26894,51448,2726.35,US Dollar,Credit Card,0,10,4
2557,212854,569.58,Euro,Credit Card,0,14,6
34977,15516,10396.94,Euro,Cheque,0,0,3
